order_date,year,month,month_name,month_abbr,quarter,quarter_name,day_of_week,day_name,is_weekend,week_number
2015-01-01,2015,1,January,Jan,1,Q1,3,Thursday,0,1
2015-01-02,2015,1,January,Jan,1,Q1,4,Friday,0,1
2015-01-03,2015,1,January,Jan,1,Q1,5,Saturday,1,1
2015-01-04,2015,1,January,Jan,1,Q1,6,Sunday,1,1
2015-01-05,2015,1,January,Jan,1,Q1,0,Monday,0,2
2015-01-06,2015,1,January,Jan,1,Q1,1,Tuesday,0,2
2015-01-07,2015,1,January,Jan,1,Q1,2,Wednesday,0,2
2015-01-08,2015,1,January,Jan,1,Q1,3,Thursday,0,2
2015-01-09,2015,1,January,Jan,1,Q1,4,Friday,0,2
2015-01-10,2015,1,January,Jan,1,Q1,5,Saturday,1,2
2015-01-11,2015,1,January,Jan,1,Q1,6,Sunday,1,2
2015-01-12,2015,1,January,Jan,1,Q1,0,Monday,0,3
2015-01-13,2015,1,January,Jan,1,Q1,1,Tuesday,0,3
2015-01-14,2015,1,January,Jan,1,Q1,2,Wednesday,0,3
2015-01-15,2015,1,January,Jan,1,Q1,3,Thursday,0,3
2015-01-16,2015,1,January,Jan,1,Q1,4,Friday,0,3
2015-01-17,2015,1,January,Jan,1,Q1,5,Saturday,1,3
2015-01-18,2015,1,January,Jan,1,Q1,6,Sunday,1,3
2015-01-19,2015,1,January,Jan,1,Q1,0,Monday,0,4
2015-01-20,2015,1,January,Jan,1,Q1,1,Tuesday,0,4
2015-01-21,2015,1,January,Jan,1,Q1,2,Wednesday,0,4
2015-01-22,2015,1,January,Jan,1,Q1,3,Thursday,0,4
2015-01-23,2015,1,January,Jan,1,Q1,4,Friday,0,4
2015-01-24,2015,1,January,Jan,1,Q1,5,Saturday,1,4
2015-01-25,2015,1,January,Jan,1,Q1,6,Sunday,1,4
2015-01-26,2015,1,January,Jan,1,Q1,0,Monday,0,5
2015-01-27,2015,1,January,Jan,1,Q1,1,Tuesday,0,5
2015-01-28,2015,1,January,Jan,1,Q1,2,Wednesday,0,5
2015-01-29,2015,1,January,Jan,1,Q1,3,Thursday,0,5
2015-01-30,2015,1,January,Jan,1,Q1,4,Friday,0,5
2015-01-31,2015,1,January,Jan,1,Q1,5,Saturday,1,5
2015-02-01,2015,2,February,Feb,1,Q1,6,Sunday,1,5
2015-02-02,2015,2,February,Feb,1,Q1,0,Monday,0,6
2015-02-03,2015,2,February,Feb,1,Q1,1,Tuesday,0,6
2015-02-04,2015,2,February,Feb,1,Q1,2,Wednesday,0,6
2015-02-05,2015,2,February,Feb,1,Q1,3,Thursday,0,6
2015-02-06,2015,2,February,Feb,1,Q1,4,Friday,0,6
2015-02-07,2015,2,February,Feb,1,Q1,5,Saturday,1,6
2015-02-08,2015,2,February,Feb,1,Q1,6,Sunday,1,6
2015-02-09,2015,2,February,Feb,1,Q1,0,Monday,0,7
2015-02-10,2015,2,February,Feb,1,Q1,1,Tuesday,0,7
2015-02-11,2015,2,February,Feb,1,Q1,2,Wednesday,0,7
2015-02-12,2015,2,February,Feb,1,Q1,3,Thursday,0,7
2015-02-13,2015,2,February,Feb,1,Q1,4,Friday,0,7
2015-02-14,2015,2,February,Feb,1,Q1,5,Saturday,1,7
2015-02-15,2015,2,February,Feb,1,Q1,6,Sunday,1,7
2015-02-16,2015,2,February,Feb,1,Q1,0,Monday,0,8
2015-02-17,2015,2,February,Feb,1,Q1,1,Tuesday,0,8
2015-02-18,2015,2,February,Feb,1,Q1,2,Wednesday,0,8
2015-02-19,2015,2,February,Feb,1,Q1,3,Thursday,0,8
2015-02-20,2015,2,February,Feb,1,Q1,4,Friday,0,8
2015-02-21,2015,2,February,Feb,1,Q1,5,Saturday,1,8
2015-02-22,2015,2,February,Feb,1,Q1,6,Sunday,1,8
2015-02-23,2015,2,February,Feb,1,Q1,0,Monday,0,9
2015-02-24,2015,2,February,Feb,1,Q1,1,Tuesday,0,9
2015-02-25,2015,2,February,Feb,1,Q1,2,Wednesday,0,9
2015-02-26,2015,2,February,Feb,1,Q1,3,Thursday,0,9
2015-02-27,2015,2,February,Feb,1,Q1,4,Friday,0,9
2015-02-28,2015,2,February,Feb,1,Q1,5,Saturday,1,9
2015-03-01,2015,3,March,Mar,1,Q1,6,Sunday,1,9
2015-03-02,2015,3,March,Mar,1,Q1,0,Monday,0,10
2015-03-03,2015,3,March,Mar,1,Q1,1,Tuesday,0,10
2015-03-04,2015,3,March,Mar,1,Q1,2,Wednesday,0,10
2015-03-05,2015,3,March,Mar,1,Q1,3,Thursday,0,10
2015-03-06,2015,3,March,Mar,1,Q1,4,Friday,0,10
2015-03-07,2015,3,March,Mar,1,Q1,5,Saturday,1,10
2015-03-08,2015,3,March,Mar,1,Q1,6,Sunday,1,10
2015-03-09,2015,3,March,Mar,1,Q1,0,Monday,0,11
2015-03-10,2015,3,March,Mar,1,Q1,1,Tuesday,0,11
2015-03-11,2015,3,March,Mar,1,Q1,2,Wednesday,0,11
2015-03-12,2015,3,March,Mar,1,Q1,3,Thursday,0,11
2015-03-13,2015,3,March,Mar,1,Q1,4,Friday,0,11
2015-03-14,2015,3,March,Mar,1,Q1,5,Saturday,1,11
2015-03-15,2015,3,March,Mar,1,Q1,6,Sunday,1,11
2015-03-16,2015,3,March,Mar,1,Q1,0,Monday,0,12
2015-03-17,2015,3,March,Mar,1,Q1,1,Tuesday,0,12
2015-03-18,2015,3,March,Mar,1,Q1,2,Wednesday,0,12
2015-03-19,2015,3,March,Mar,1,Q1,3,Thursday,0,12
2015-03-20,2015,3,March,Mar,1,Q1,4,Friday,0,12
2015-03-21,2015,3,March,Mar,1,Q1,5,Saturday,1,12
2015-03-22,2015,3,March,Mar,1,Q1,6,Sunday,1,12
2015-03-23,2015,3,March,Mar,1,Q1,0,Monday,0,13
2015-03-24,2015,3,March,Mar,1,Q1,1,Tuesday,0,13
2015-03-25,2015,3,March,Mar,1,Q1,2,Wednesday,0,13
2015-03-26,2015,3,March,Mar,1,Q1,3,Thursday,0,13
2015-03-27,2015,3,March,Mar,1,Q1,4,Friday,0,13
2015-03-28,2015,3,March,Mar,1,Q1,5,Saturday,1,13
2015-03-29,2015,3,March,Mar,1,Q1,6,Sunday,1,13
2015-03-30,2015,3,March,Mar,1,Q1,0,Monday,0,14
2015-03-31,2015,3,March,Mar,1,Q1,1,Tuesday,0,14
2015-04-01,2015,4,April,Apr,2,Q2,2,Wednesday,0,14
2015-04-02,2015,4,April,Apr,2,Q2,3,Thursday,0,14
2015-04-03,2015,4,April,Apr,2,Q2,4,Friday,0,14
2015-04-04,2015,4,April,Apr,2,Q2,5,Saturday,1,14
2015-04-05,2015,4,April,Apr,2,Q2,6,Sunday,1,14
2015-04-06,2015,4,April,Apr,2,Q2,0,Monday,0,15
2015-04-07,2015,4,April,Apr,2,Q2,1,Tuesday,0,15
2015-04-08,2015,4,April,Apr,2,Q2,2,Wednesday,0,15
2015-04-09,2015,4,April,Apr,2,Q2,3,Thursday,0,15
2015-04-10,2015,4,April,Apr,2,Q2,4,Friday,0,15
2015-04-11,2015,4,April,Apr,2,Q2,5,Saturday,1,15
2015-04-12,2015,4,April,Apr,2,Q2,6,Sunday,1,15
2015-04-13,2015,4,April,Apr,2,Q2,0,Monday,0,16
2015-04-14,2015,4,April,Apr,2,Q2,1,Tuesday,0,16
2015-04-15,2015,4,April,Apr,2,Q2,2,Wednesday,0,16
2015-04-16,2015,4,April,Apr,2,Q2,3,Thursday,0,16
2015-04-17,2015,4,April,Apr,2,Q2,4,Friday,0,16
2015-04-18,2015,4,April,Apr,2,Q2,5,Saturday,1,16
2015-04-19,2015,4,April,Apr,2,Q2,6,Sunday,1,16
2015-04-20,2015,4,April,Apr,2,Q2,0,Monday,0,17
2015-04-21,2015,4,April,Apr,2,Q2,1,Tuesday,0,17
2015-04-22,2015,4,April,Apr,2,Q2,2,Wednesday,0,17
2015-04-23,2015,4,April,Apr,2,Q2,3,Thursday,0,17
2015-04-24,2015,4,April,Apr,2,Q2,4,Friday,0,17
2015-04-25,2015,4,April,Apr,2,Q2,5,Saturday,1,17
2015-04-26,2015,4,April,Apr,2,Q2,6,Sunday,1,17
2015-04-27,2015,4,April,Apr,2,Q2,0,Monday,0,18
2015-04-28,2015,4,April,Apr,2,Q2,1,Tuesday,0,18
2015-04-29,2015,4,April,Apr,2,Q2,2,Wednesday,0,18
2015-04-30,2015,4,April,Apr,2,Q2,3,Thursday,0,18
2015-05-01,2015,5,May,May,2,Q2,4,Friday,0,18
2015-05-02,2015,5,May,May,2,Q2,5,Saturday,1,18
2015-05-03,2015,5,May,May,2,Q2,6,Sunday,1,18
2015-05-04,2015,5,May,May,2,Q2,0,Monday,0,19
2015-05-05,2015,5,May,May,2,Q2,1,Tuesday,0,19
2015-05-06,2015,5,May,May,2,Q2,2,Wednesday,0,19
2015-05-07,2015,5,May,May,2,Q2,3,Thursday,0,19
2015-05-08,2015,5,May,May,2,Q2,4,Friday,0,19
2015-05-09,2015,5,May,May,2,Q2,5,Saturday,1,19
2015-05-10,2015,5,May,May,2,Q2,6,Sunday,1,19
2015-05-11,2015,5,May,May,2,Q2,0,Monday,0,20
2015-05-12,2015,5,May,May,2,Q2,1,Tuesday,0,20
2015-05-13,2015,5,May,May,2,Q2,2,Wednesday,0,20
2015-05-14,2015,5,May,May,2,Q2,3,Thursday,0,20
2015-05-15,2015,5,May,May,2,Q2,4,Friday,0,20
2015-05-16,2015,5,May,May,2,Q2,5,Saturday,1,20
2015-05-17,2015,5,May,May,2,Q2,6,Sunday,1,20
2015-05-18,2015,5,May,May,2,Q2,0,Monday,0,21
2015-05-19,2015,5,May,May,2,Q2,1,Tuesday,0,21
2015-05-20,2015,5,May,May,2,Q2,2,Wednesday,0,21
2015-05-21,2015,5,May,May,2,Q2,3,Thursday,0,21
2015-05-22,2015,5,May,May,2,Q2,4,Friday,0,21
2015-05-23,2015,5,May,May,2,Q2,5,Saturday,1,21
2015-05-24,2015,5,May,May,2,Q2,6,Sunday,1,21
2015-05-25,2015,5,May,May,2,Q2,0,Monday,0,22
2015-05-26,2015,5,May,May,2,Q2,1,Tuesday,0,22
2015-05-27,2015,5,May,May,2,Q2,2,Wednesday,0,22
2015-05-28,2015,5,May,May,2,Q2,3,Thursday,0,22
2015-05-29,2015,5,May,May,2,Q2,4,Friday,0,22
2015-05-30,2015,5,May,May,2,Q2,5,Saturday,1,22
2015-05-31,2015,5,May,May,2,Q2,6,Sunday,1,22
2015-06-01,2015,6,June,Jun,2,Q2,0,Monday,0,23
