Product Card Id,Product Name,Category Name,Category Id,Department Name,Department Id,Order Item Product Price,Order Item Discount Rate
1360,Smart watch ,Sporting Goods,73,Fitness,2,327.75,0.039999999
365,Perfect Fitness Perfect Rip Deck,Cleats,17,Apparel,4,59.99000168,0.039999999
627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,29,Golf,5,39.99000168,0.01
502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,24,Golf,5,50.0,0.039999999
278,Under Armour Men's Compression EV SL Slide,Electronics,13,Footwear,3,44.99000168,0.170000002
249,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,12,Footwear,3,54.97000122,0.180000007
191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,9,Footwear,3,99.98999786,0.119999997
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,41,Outdoors,6,21.98999977,0.029999999
828,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,37,Outdoors,6,31.98999977,0.170000002
642,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,29,Golf,5,30.0,0.090000004
818,Titleist Pro V1x Golf Balls,Electronics,37,Outdoors,6,47.99000168,0.01
825,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,37,Outdoors,6,31.98999977,0.039999999
306,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,38,Outdoors,6,89.98999786,0.119999997
977,ENO Atlas Hammock Straps,Hunting & Shooting,44,Fan Shop,7,29.98999977,0.170000002
44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,3,Fitness,2,59.99000168,0.050000001
251,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,12,Footwear,3,89.98999786,0.25
403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,18,Apparel,4,129.9900055,0.02
957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,43,Fan Shop,7,299.980011,0.01
1352,Industrial consumer electronics,Consumer Electronics,65,Technology,10,252.8800049,0.0
1349,Web Camera,Cameras ,62,Technology,10,452.0400085,0.01
1351,Dell Laptop,Computers,64,Technology,10,1500.0,0.059999999
60,SOLE E25 Elliptical,Basketball,4,Fitness,2,999.9899902,0.01
24,Elevation Training Mask 2.0,Soccer,2,Fitness,2,79.98999786,0.02
567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,26,Golf,5,25.0,0.02
